channel nspanel-pro
diffsuffix
apkfmt app
full|1.5.0|14|NSPanel86P_CoolKit_480P_20221213_1.5.0-ota.zip|704387357
full|1.5.6|16|NSPanel86P_CoolKit_480P_20230217_1.5.6-ota.zip|708703080
full|1.6.0|17|NSPanel86P_CoolKit_480P_20230311_1.6.0-ota.zip|708501901
full|1.7.0|18|CoolKit_Sonoff_480P_20230411_1.7.0-ota.zip|708626997
full|1.11.0|22|CoolKit_Sonoff_480P_20230808_1.11.0-ota.zip|710735616
full|2.1.0|24|CoolKit_Sonoff_480P_20230926_2.1.0-ota.zip|728732044
full|2.2.0|25|CoolKit_Sonoff_480P_20231109_2.2.0-ota.zip|722848899
full|2.3.0|26|CoolKit_Sonoff_480P_20231208_2.3.0-ota.zip|722633261
full|3.0.0|27|CoolKit_Sonoff_480P_20240306_3.0.0-ota.zip|709170965
full|4.0.12|46|CoolKit_Sonoff_480P_20251031_4.0.12-ota.zip|888874130
diff|3.3.0|29|3.0.0:48193655|3.1.0:37490177
diff|3.4.0|30|3.0.0:48542357|3.1.0:38922311|3.3.0:36641265
diff|3.5.0|31|3.0.0:49090031|3.1.0:42259178|3.3.0:40877293|3.4.0:40934508
diff|3.6.1|32|3.0.0:76326093|3.1.0:71472324|3.3.0:71404938|3.4.0:70674786|3.5.0:66262318
diff|3.7.1|35|3.0.0:245555399|3.1.0:240889300|3.3.0:240831236|3.4.0:240214571|3.5.0:239607687|3.6.1:206787998|3.7.0:31937628
diff|3.8.0|36|3.0.0:245588965|3.1.0:240891616|3.3.0:240852117|3.4.0:239863038|3.5.0:239611598|3.6.1:206962770|3.7.0:35267118|3.7.1:28085355
diff|3.9.3|37|3.0.0:247633835|3.1.0:243054086|3.3.0:242890068|3.4.0:242344862|3.5.0:241684079|3.6.1:212177986|3.7.0:116179024|3.7.1:116190235|3.8.0:116279929
diff|3.9.4|38|3.0.0:247700813|3.1.0:242902511|3.3.0:242859231|3.4.0:242365334|3.5.0:241720013|3.6.1:212202057|3.7.0:116262422|3.7.1:116227264|3.8.0:116280880|3.9.3:31509486
diff|3.12.0|42|3.0.0:247781778|3.1.0:243211986|3.3.0:243076151|3.4.0:242437503|3.5.0:241889505|3.6.1:212363501|3.7.0:116363661|3.7.1:116349200|3.8.0:116407912|3.9.3:32148442|3.9.4:28608156
diff|4.0.0|43|3.0.0:453260831|3.1.0:450221614|3.3.0:450144911|3.4.0:449929578|3.5.0:449412542|3.6.1:442126542|3.7.0:346917852|3.7.1:346874627|3.8.0:346857491|3.9.3:269062995|3.9.4:265820692
diff|4.0.7|44|3.0.0:453273585|3.1.0:450270643|3.3.0:450195324|3.4.0:449978567|3.5.0:449449720|3.6.1:442213249|3.7.0:346988612|3.7.1:346945928|3.8.0:346909925|3.9.3:269150184|3.9.4:269126594|3.12.0:269375510|4.0.0:48973417
diff|4.0.10|45|3.0.0:453397623|3.1.0:450383656|3.3.0:450336211|3.4.0:450108093|3.5.0:449614009|3.6.1:442307421|3.7.0:347076667|3.7.1:347019387|3.8.0:347030465|3.9.3:269671025|3.9.4:269687703|3.12.0:269024683|4.0.0:48989956|4.0.7:47513959
diff|4.4.0|48|4.0.12:229396793
diff|4.5.1|49|4.0.12:230888264|4.4.0:51262369
diff|4.6.0|50|4.0.12:233981974|4.4.0:172641098|4.5.1:163963043
diff|4.7.0|51|4.0.12:234168816|4.4.0:172662857|4.5.1:164367525|4.6.0:41721861
diff|4.8.0|52|4.0.12:234385007|4.4.0:172645168|4.5.1:166378996|4.6.0:46939498|4.7.0:46442328
diff|4.9.0|53|4.0.12:244837327|4.4.0:182377315|4.5.1:176173820|4.6.0:58429383|4.7.0:53026703|4.8.0:54825809
apk|1.5.0|19|108160767
apk|1.5.6|25|109147149
apk|1.6.0|26|109190517
apk|1.7.0|28|109216702
apk|1.11.0|46|111619302
apk|2.1.0|48|149461975
apk|2.2.0|50|146206319
apk|2.3.0|53|145145787
apk|3.0.0|56|158232841
apk|3.1.0|58|155620337
apk|3.3.0|64|155744142
apk|3.4.0|65|156121132
apk|3.5.0|69|156829484
apk|3.6.1|74|140224402
apk|3.7.1|77|140346273
apk|3.8.0|79|140350085
apk|3.9.3|92|140374929
apk|3.9.4|93|140392465
apk|4.4.1|122|139319336
apk|4.5.0|124|135982718
apk|4.5.1|125|135982718
apk|4.5.2|126|136037762
apk|4.5.3|127|136037762
apk|4.6.0|128|137533807
apk|4.6.2|129|137533807
apk|4.7.0|130|137695680
apk|4.8.0|131|137890388
apk|4.8.1|132|137890388
apk|4.8.2|133|137890388
apk|4.8.3|134|137890388
apk|4.8.5|135|138221505
apk|4.9.0|136|138237869
apk|4.9.1|137|138237869
